"","acao","RMSE_AR","RMSE_SETAR","RMSE_LSTAR","MAE_AR","MAE_SETAR","MAE_LSTAR"
"143","ESE","2.4452413680298 ","2.50647313574524","2.56945051175132","1.74487024517255 ","1.74883452925036 ","1.7099068491047  "
"144","FCF","2.86751612538649","2.92368644987475","2.9285518986722 ","1.97452233411488 ","1.96971504489249 ","1.97215284440198 "
"145","FOE","3.66943361706572","3.65132451423767","3.67943714969047","2.79096646108372 ","2.77670532723514 ","2.80898609644469 "
"146","FOR","2.64178892927311","2.65246758590894","2.66165146522088","1.80153072793928 ","1.78165115370827 ","1.7829759256829  "
"147","FPI","2.62055732453819","2.56579168424281","2.55899566822327","1.82953051819955 ","1.80859307423125 ","1.80252197435025 "
"148","FSS","2.32534736490505","2.32414583862788","2.32904874014679","1.69501133057761 ","1.68892632142476 ","1.68601586492646 "
"149","FTK","6.46223470347372","6.37508467977028","6.38263349904677","4.2961401388201  ","4.25647725631759 ","4.24532111510003 "
"150","GBL-old","4.16319900895322","4.37839787044643","4.35082675782878","2.69328465141111 ","2.78356166604118 ","2.76565114193464 "
"151","GBX","3.56633859421918","3.55706552505725","3.62889564261594","2.3942491834513  ","2.39744202934314 ","2.41514396413658 "
"152","GCI","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"153","GEO","3.87864265433893","3.84445843108716","3.85184608392962","2.59748619849621 ","2.55008153429123 ","2.55630808960779 "
"154","GHM","3.56152657801202","3.59153310837894","3.58849478089583","2.45732747264046 ","2.47858471247487 ","2.47135548009808 "
"155","GLT","3.50685001478926","3.50744519759437","3.53874322550106","2.49513726633709 ","2.49273341807318 ","2.50972021728003 "
"156","GNE","2.88082524892758","3.02748761657796","3.02309885525096","1.76094344969489 ","1.7848455725566  ","1.78512808982922 "
"157","HAE","3.02011261025444","3.02061994509729","3.01934537619657","2.04491800417649 ","2.05546459386353 ","2.04969774552754 "
"158","HCI","3.06056689814244","3.04896992051028","3.05210599621158","1.92167042480841 ","1.92882181966066 ","1.9254339023257  "
"159","HL","4.80344550403365","4.83236599461827","4.8268418800455 ","3.48307808873527 ","3.49995257093426 ","3.4977803914925  "
"160","HRTG","3.38334217008788","3.50403589754274","3.48462894634204","2.39584522044542 ","2.41465598191875 ","2.40050694265604 "
"161","HVT","3.23891091846132","3.25890213802707","3.22960247499263","2.30103745342206 ","2.31322088361154 ","2.29783963737054 "
"162","HY","3.60987610890704","3.64674241714775","3.66771550802457","2.6145647149993  ","2.61894760743401 ","2.61522867478067 "
"163","HZO","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"164","IBP","3.05757663453166","3.03355485480493","2.9447913038983 ","2.33786050723286 ","2.29999788250631 ","2.24806129267215 "
"165","ICD","4.54307196175641","4.82711392130808","5.07327016514418","3.25843484786525 ","3.48540077598912 ","3.76289179035647 "
"166","IO","6.74010340946586","6.64702497305178","6.65426170190955","4.23451137409607 ","4.20653716314458 ","4.20520941434039 "
"167","KEYS","2.16758873281148","2.1018396763225 ","2.07102534897731","1.61026313528261 ","1.55341744489969 ","1.53496516322093 "
"168","KN","1.12738310174319","1.15733689540348","1.14517467019628","0.914102962485171","0.925410586671466","0.920206280396348"
"169","MC","2.22631598443409","2.25924909072804","2.1919786943207 ","1.71097220763782 ","1.71419194240956 ","1.6647332608646  "
"170","MOG.A","17.4116010173827","13.7355017477929","12.4310679631831","17.4116010173827 ","13.7355017477929 ","12.4310679631831 "
"171","MSA","1.81040755504006","1.80519154723272","1.79678715961331","1.34258721207725 ","1.33700584484942 ","1.3303201913911  "
"172","MUSA","1.93695013251906","1.93588457651986","1.90465636820177","1.5126861039094  ","1.5029666489544  ","1.48004019717623 "
"173","NBHC","2.60813039434371","2.63933214276276","2.66947615459804","1.83188631285092 ","1.81393985592602 ","1.81619366849808 "
"174","NEWR","3.16893108497575","3.13918347977396","3.09744815297772","2.02182818563377 ","2.03151288577183 ","1.98744074092324 "
"175","NGVC","3.93837095094478","3.92749334851307","3.87430785967282","2.78736235845726 ","2.78506122914906 ","2.75651899469904 "
"176","NLSN-old","4.48276023876813","4.20007263388947","4.46913824072903","3.58183358251415 ","3.21089337641209 ","3.2955134434014  "
"177","NPTN-old","2.64871632293815","2.77638181565371","2.77622806738316","1.17734717761433 ","1.2226825736823  ","1.21977271196047 "
"178","NVRO","3.48598188287483","3.47182201005616","3.47003127237089","2.39378048679463 ","2.40225800509793 ","2.40012475342291 "
"179","OVV","5.1733780614697 ","4.99846671298967","9.95551054916953","3.24312840956998 ","3.35232986868602 ","3.59680161777702 "
"180","PSB-old","2.43267128808098","2.50729265325049","298.973105908821","1.44795467746026 ","1.45694846298526 ","12.8194740169839 "
"181","QUOT","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"182","REXR","1.9766893718195 ","1.99537943114833","1.81518604227056","1.48175558394258 ","1.45968140058922 ","1.35999331830631 "
"183","RITM","2.64109862480004","2.6407896817471 ","2.64436511891736","1.96830900919533 ","1.96013704359899 ","1.97117676191122 "
"184","RMAX","2.58649015253187","2.24992805188195","2.16237955289772","1.94533257104863 ","1.67913635093809 ","1.62637826022784 "
"185","RYI","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"186","SLCA","7.66677218714056","7.16064287432466","7.68343844607658","5.04159502909113 ","4.99906060387505 ","5.06863749718571 "
"187","SSTK","3.25507135951394","3.35653851260367","3.33739622032645","2.41558960611741 ","2.46695955307799 ","2.44720877490012 "
"188","SUM","2.84549025464481","2.82103475157061","2.76394171641601","2.16555931310766 ","2.12792809129215 ","2.09912277559612 "
"189","TA","4.64372908967609","4.74452483161115","4.70767013256533","2.79637642305769 ","2.85748224620553 ","2.85198447002859 "
"190","TCS","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"191","TNET","2.2600068614781 ","2.28027612767056","2.24111415529556","1.60130440905444 ","1.59117901042674 ","1.5809453446083  "
"192","TREC-old","3.46461712150378","3.47098931087024","3.51610017766068","2.12159029225973 ","2.13843985332807 ","2.15540562550014 "
"193","TRUP","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"194","VG-old","3.23246648036936","3.26492130004572","3.26490627326758","1.97735408619999 ","1.98411996559046 ","1.98554432474447 "
"195","VRTV","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"196","VSTO","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"197","WNC","6.80019206599429","6.70866394201951","6.71518582381425","6.58132167675491 ","6.42832245418111 ","6.4375318574888  "
"198","XHR","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"199","ZEN-old","2.76144673716269","2.79701966239504","2.73848290016985","1.98967426458035 ","1.99682236969709 ","1.96937890939752 "
"200","ZTS","1.85462531283667","1.83274009757006","1.83102063539043","1.39245822102255 ","1.37184460651375 ","1.37527944051555 "
